lm_feature_code,description,lm_system,lm_vendor
62100REVIT_2009_0F,Revit Architecture 2009,flexlm,adskflex
62200REVITST_2009_0F,Revit Structure 2009,flexlm,adskflex
62700NAVREV_2009_0F,Autodesk NavisWorks Review 2009,flexlm,adskflex
62800NAVSIM_2009_0F,Autodesk NavisWorks Simulate 2009,flexlm,adskflex
62900NAVMAN_2009_0F,Autodesk NavisWorks Manage 2009,flexlm,adskflex
64300ACD_F,AutoCAD Package,flexlm,adskflex
64300ACD_T_F,Autodesk AutoCAD,flexlm,adskflex
64400AMECH_PP_F,AutoCAD Mechanical Package,flexlm,adskflex
64400AMECH_PP_T_F,Autodesk AutoCAD Mechanical,flexlm,adskflex
64500INVBUN_F,Inventor Series Package,flexlm,adskflex
64600INVPRORS_F,Autodesk Inventor Routed Systems Suite Package,flexlm,adskflex
64700INVPROSIM_F,Autodesk Inventor Simulation Suite Package,flexlm,adskflex
64800INVPRO_F,Inventor Professional Package,flexlm,adskflex
64801INVPROSA_F,Autodesk Inventor Professional Package,flexlm,adskflex
64801INVPROSA_T_F,Autodesk Inventor Professional,flexlm,adskflex
64900CIV3D_F,Autodesk Civil 3D Package,flexlm,adskflex
64900CIV3D_T_F,Autodesk AutoCAD Civil 3D,flexlm,adskflex
65000ACDLAND_F,AutoCAD Land Desktop Package,flexlm,adskflex
65100BLDSYS_F,AutoCAD MEP Package,flexlm,adskflex
65100BLDSYS_T_F,Autodesk AutoCAD MEP,flexlm,adskflex
65200REVSYP_F,AutoCAD Revit MEP Suite Package,flexlm,adskflex
65300ARCHDESK_F,AutoCAD Architecture Package,flexlm,adskflex
65300ARCHDESK_T_F,Autodesk AutoCAD Architecture,flexlm,adskflex
65400MAP_F,AutoCAD Map 3D Package,flexlm,adskflex
65400MAP_T_F,Autodesk AutoCAD Map 3D,flexlm,adskflex
65500ACAD_E_F,AutoCAD Electrical Package,flexlm,adskflex
65500ACAD_E_T_F,Autodesk AutoCAD Electrical,flexlm,adskflex
65600UTLDESN_F,AutoCAD Utility Design Package,flexlm,adskflex
65600UTLDESN_T_F,Autodesk AutoCAD Utility Design,flexlm,adskflex
65700PLNT3D_F,AutoCAD Plant 3D Package,flexlm,adskflex
65700PLNT3D_T_F,Autodesk AutoCAD Plant 3D,flexlm,adskflex
65800TOPOBSCLNT_F,Autodesk Topobase Client Package,flexlm,adskflex
65900REVITS_F,AutoCAD Revit Architecture Suite Package,flexlm,adskflex
66000REVSU_F,AutoCAD Revit Series - Structure Package,flexlm,adskflex
66100INVLT_F,Autodesk Inventor LT Package,flexlm,adskflex
66100INVLT_T_F,Autodesk Inventor LT,flexlm,adskflex
662003DSMAX_F,Autodesk 3ds Max Package,flexlm,adskflex
662003DSMAX_T_F,Autodesk 3ds Max,flexlm,adskflex
66300ARDES_F,AutoCAD Raster Design Package,flexlm,adskflex
66300ARDES_T_F,Autodesk AutoCAD Raster Design,flexlm,adskflex
66400MAPGE_F,Autodesk MapGuide Enterprise Package,flexlm,adskflex
66500PCPRO_F,Autodesk Productstream Professional Package,flexlm,adskflex
66600PCEASY_F,Autodesk Productstream Professional Easy Package,flexlm,adskflex
66700PCOFFI_F,Autodesk 360 Vault Office Package,flexlm,adskflex
66700PCOFFI_T_F,Autodesk Vault Office,flexlm,adskflex
66800REVIT_F,Revit Architecture Package,flexlm,adskflex
66900REVITST_F,Autodesk Revit Structure Package,flexlm,adskflex
67000MAYACP_F,Autodesk Maya Complete Package,flexlm,adskflex
