FlexLM Feature Code,Description
67500NAVSIM_F,Autodesk NavisWorks Simulate Package
67600NAVMAN_F,Autodesk Navisworks Manage Package
67700PNID_F,AutoCAD P&ID Package
67800RVTMPJ_2009_0F,Autodesk Revit MEP 2009
68600AQTO_2010_0F,Autodesk Quantity Takeoff 2010
68800CIVIL_2009_0F,AutoCAD Civil 2009
68900NAVREV_2009_1F,Autodesk NavisWorks Review 2009.1
68900NAVREV_2009_1P,Autodesk NavisWorks Review 2009.1 Pre-Release
69000NAVSIM_2009_1F,Autodesk NavisWorks Simulate 2009.1
69000NAVSIM_2009_1P,Autodesk NavisWorks Simulate 2009.1 Pre-Release
69100NAVMAN_2009_1F,Autodesk NavisWorks Manage 2009.1
69100NAVMAN_2009_1P,Autodesk NavisWorks Manage 2009.1 Pre-Release
69300RSA_2009_0F,Autodesk Robot Structural Analysis 2009
69400RSAPRO_2009_0F,Autodesk Robot Structural Analysis Professional 2009
69600RSAPRO_F,Autodesk Robot Structural Analysis Professional Package
699003DSMAX_2010_0F,Autodesk® 3ds Max® 2010
70000MAXDES_2010_0F,Autodesk 3ds Max Design 2010
70100MAXDES_F,Autodesk 3ds Max Design Package
70200MBXPRO_2009_0F,Autodesk Mudbox 2009
70400INVBUN_2010_0F,AutoCAD Inventor Suite 2010
70500INVPRO_2010_0F,AutoCAD Inventor Professional Suite 2010
70600INVPRORS_2010_0F,AutoCAD Inventor Routed Systems Suite 2010
70700INVPROSIM_2010_0F,AutoCAD Inventor Simulation Suite 2010
70800VLTM_2010_0F,Autodesk Vault Manufacturing 2010
71200ACD_2010_0F,AutoCAD 2010
71400NAVMAN_2010_0F,Autodesk Navisworks Manage 2010
71500NAVSIM_2010_0F,Autodesk Navisworks Simulate 2010
71600NAVREV_2010_0F,Autodesk Navisworks Review 2010
71700ACAD_E_2010_0F,AutoCAD Electrical 2010
71800AMECH_PP_2010_0F,AutoCAD Mechanical 2010
71900PCEASY_2010_0F,Autodesk Productstream Professional Easy 2011
72000PCOFFI_2010_0F,Autodesk Productstream Professional 2010 Office
72100PCPRO_2010_0F,Autodesk Productstream Professional 2011
72200ARCHDESK_2010_0F,AutoCAD Architecture 2010
72300PLNT3D_2010_0F,AutoCAD Plant 3D 2010
72400VLTM_F,Vault Professional Package
72500MAP_2010_0F,AutoCAD Map 3D 2010
72600ARDES_2010_0F,AutoCAD Raster Design 2010
72700MAPGE_2010_0F,Autodesk MapGuide Enterprise 2010
72800TOPOBSCLNT_2010_0F,Autodesk Topobase Client 2010
72900TOPOBSWEB_2010_0F,Autodesk Topobase Web 2010
73000BLDSYS_2010_0F,AutoCAD MEP 2010
73100REVSYP_2010_0F,AutoCAD Revit MEP Suite 2010
73200INVMFG_2010_0F,AutoCAD Inventor Tooling Suite 2010
73400PNID_2010_0F,Autodesk Plant P&ID 2010
73500UTLDESN_2010_0F,Autodesk Utility Design 2010
73700CIV3D_2010_0F,AutoCAD Civil 3D 2010
73800RVTMPJ_2010_0F,Autodesk Revit MEP 2010
73900REVITST_2010_0F,Autodesk Revit Structure 2010
74000REVSU_2010_0F,AutoCAD Revit Structure Suite 2010
74100REVIT_2010_0F,Autodesk Revit Architecture 2010
74200REVITS_2010_0F,AutoCAD Revit Architecture Suite 2010
74300CIVIL_2010_0F,AutoCAD Civil 2010
74400INVAS_2010_0F,Autodesk Inventor Automation Professional 2010
74500VLTC_2010_0F,Autodesk Vault Collaboration 2010
74700VLTWG_2010_0F,Autodesk Vault Workgroup 2010
74900RVTMPJ_F,Autodesk Revit MEP Package
75100TOXIK_2010_0F,Autodesk Toxik 2010
75200RSA_2010_0F,Autodesk Robot Structural Analysis 2010
75300RSAPRO_2010_0F,Autodesk Robot Structural Analysis Professional 2010
75600RSTR_2010_0F,AutoCAD Raster 2010
75700MFDLC_2010_0F,Autodesk Moldflow Design Link for CATIA V5 2010
75900MFDLPE_2010_0F,Autodesk Moldflow Design Link for Pro/ENGINEER 2010
76100MFDLP_2010_0F,Autodesk Moldflow Design Link for Parasolid 2010
76300MFAD_2010_0F,Autodesk Moldflow Adviser Design 2010
76500MFAM_2010_0F,Autodesk Moldflow Adviser Manufacturing 2010
76700MFAA_2010_0F,Autodesk Moldflow Adviser Advanced 2010
76900MFIB_2010_0F,Autodesk Moldflow Insight Basic 2010
77100MFIP_2010_0F,Autodesk Moldflow Insight Performance 2010
77300MFIA_2010_0F,Autodesk Moldflow Insight Advanced 2010
77500MFCD_2010_0F,Autodesk Moldflow CAD Doctor 2010
77700MFS_2010_0F,Autodesk Moldflow Synergy 2010
78000ECOA_2010_0F,Autodesk Ecotect Analysis 2010
78100ECOA_F,Autodesk Ecotect Analysis Package
78200RAV-S_2009_0F,AutoCAD Revit Architecture Visualization Suite 2009
78600SFTIM_7_5F,Autodesk Softimage 7.5
78800SFTIMA_7_5F,Autodesk Softimage Advanced 7.5
78800SFTIMASIB1_7_5F,Autodesk Softimage Advanced 7.5 SIBatch1
78800SFTIMASIB2_7_5F,Autodesk Softimage Advanced 7.5 SIBatch2
78800SFTIMASIB3_7_5F,Autodesk Softimage Advanced 7.5 SIBatch3
78800SFTIMASIB4_7_5F,Autodesk Softimage Advanced 7.5 SIBatch4
78800SFTIMASIB5_7_5F,Autodesk Softimage Advanced 7.5 SIBatch5
78900SFTIMA_F,Autodesk Softimage Advanced Package
79000SFTIMASIB1_F,Autodesk Softimage SIBatch1 Package
79100SFTIMASIB2_F,Autodesk Softimage SIBatch2 Package
79200SFTIMASIB3_F,Autodesk Softimage SIBatch3 Package
79300SFTIMASIB4_F,Autodesk Softimage SIBatch4 Package
79400SFTIMASIB5_F,Autodesk Softimage SIBatch5 Package
79500MOBPRO_2010_0F,Autodesk MotionBuilder 2010
79600EMS_2010_0F,Autodesk Education Master Suite 2010
79800ESAE_2010_0F,Autodesk Education Suite for Architecture and Engineering 2010
80000ACDDS_2010_0F,AutoCAD Visualization Suite 2010
80200DES_ACA_2010_0F,Autodesk Design Academy 2010
80400ESID_2010_0F,Autodesk Education Suite for Industrial Design 2010
80700ESME_2010_0F,Autodesk Education Suite for Mechanical Engineering 2010
80900ESCSE_2010_0F,Autodesk Education Suite for Civil and Structural Engineering 2010
81500RAVS_2010_0F,AutoCAD Revit Architecture Visualization Suite 2010
81700MAYACP_2010_0F,Autodesk Maya Complete 2010
81700MAYACPMR_2010_0F,Autodesk Maya Complete 2010 Mental Ray
81800MAYAUL_2010_0F,Autodesk Maya Unlimited 2010
81800MAYAULFS_2010_0F,Autodesk Maya Unlimited 2010 Fluid Simulation
81800MAYAULMR_2010_0F,Autodesk Maya Unlimited 2010 Mental Ray
82000BDFBS_2010_0F,Autodesk Building Fabrication Suite 2010
82200STRDET_2010_0F,AutoCAD Structural Detailing 2010
82400RVTMPB_2010_0F,Autodesk Revit MEP-B 2010
82700NWMMAN_2010_0F,Autodesk Navisworks Manufacturing Manage 2010
82900NWMSIM_2010_0F,Autodesk Navisworks Manufacturing Simulate 2010
83100NWMREV_2010_0F,Autodesk Navisworks Manufacturing Review 2010
83300INVAR_2010_0F,Autodesk Inventor Automation Runtime 2010
83900MBXPRO_2010_0F,Autodesk Mudbox 2010
84000SFTIM_2010_0F,Autodesk Softimage 2010
84100SFTIMASIB1_2010_0F,Autodesk Softimage 2010 SIBatch1
84100SFTIMASIB2_2010_0F,Autodesk Softimage 2010 SIBatch2
84100SFTIMASIB3_2010_0F,Autodesk Softimage 2010 SIBatch3
84100SFTIMASIB4_2010_0F,Autodesk Softimage 2010 SIBatch4
84100SFTIMASIB5_2010_0F,Autodesk Softimage 2010 SIBatch5
84600ACDLT_2010_0F,AutoCAD LT 2010
84700ACDLT_F,AutoCAD LT Package
84800AUTOST_2011_0F,Autodesk Alias Automotive 2011
85000DESNST_2011_0F,Autodesk Alias Design 2011
85200SURFST_2011_0F,Autodesk Alias Surface 2011
85400MAYA_2010_0F,Maya 2010
85400MAYAMFS_2010_0F,Autodesk Maya 2010 Fluid Simulation
85400MAYAMMR_2010_0F,Autodesk Maya 2010 Mental Ray
85400MAYAMMR1_2010_0F,Autodesk Maya 2010 Mental Ray 1
85400MAYAMMR2_2010_0F,Autodesk Maya 2010 Mental Ray 2
85400MAYAMMR3_2010_0F,Autodesk Maya 2010 Mental Ray 3
85400MAYAMMR4_2010_0F,Autodesk Maya 2010 Mental Ray 4
85400MAYAMMR5_2010_0F,Autodesk Maya 2010 Mental Ray 5
855013DSMAX_2011_0F,Autodesk 3ds Max 2011
855023DSMAX_F,Autodesk 3ds Max Package
85503MAXDES_2011_0F,Autodesk 3ds Max Design 2011
85504MAXDES_F,Autodesk 3ds Max Design Package
85507ASMES_2010_0F,Autodesk Algor Simulation MES 2010
85511MYECS_2010_0F,Autodesk Maya Entertainment Creation Suite 2010
85512MYECS_F,Autodesk Maya Entertainment Creation Suite Standard
85525ASMES_F,Autodesk Algor Simulation MES Package
85536ACD_2011_0F,AutoCAD 2011
85536ACD_2011_0P,AutoCAD 2011 Pre-Release
85537MAYA_2011_0F,Autodesk Maya 2011
85537MAYAMFS_2011_0F,Autodesk Maya 2011 Fluid Simulation
85537MAYAMFS_F,Autodesk Maya Fluid Simulation
85537MAYAMMR_2011_0F,Autodesk Maya 2011 Mental Ray
85537MAYAMMR_F,Autodesk Maya Mental Ray Package
85537MAYAMMR1_2011_0F,Autodesk Maya 2011 Mental Ray 1
85537MAYAMMR1_F,Autodesk Maya Mental Ray 1 Package
85537MAYAMMR2_2011_0F,Autodesk Maya 2011 Mental Ray 2
85537MAYAMMR2_F,Autodesk Maya Mental Ray 2 Package
85537MAYAMMR3_2011_0F,Autodesk Maya 2011 Mental Ray 3
85537MAYAMMR3_F,Autodesk Maya Mental Ray 3 Package
85537MAYAMMR4_2011_0F,Autodesk Maya 2011 Mental Ray 4
85537MAYAMMR4_F,Autodesk Maya Mental Ray 4 Package
85537MAYAMMR5_2011_0F,Autodesk Maya 2011 Mental Ray 5
85537MAYAMMR5_F,Autodesk Maya Mental Ray 5 Package
85538ACAD_E_2011_0F,AutoCAD Electrical 2011
85541RVTMPB_2011_0F,Autodesk Revit MEP-B 2011
85543REVITST_2011_0F,Autodesk Revit Structure 2011
85545AMECH_PP_2011_0F,AutoCAD Mechanical 2011
85550PCOFFI_2011_0F,Autodesk Productstream Professional Office 2011
